PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
40486952,Translational Medicine in Alzheimer's Disease: The Journey of Donanemab From Discovery to Clinical Application,"Jayaprakash N, Elumalai K.",Chronic Dis Transl Med. 2024 Dec 16;11(2):105-116. doi: 10.1002/cdt3.155. eCollection 2025 Jun.,Jayaprakash N,Chronic Dis Transl Med,2024,09-06-2025,PMC12142702,,10.1002/cdt3.155
40190514,Research progress on the role of ginsenoside Rd in central nervous system diseases,"Ma X, Wang J.",Afr Health Sci. 2024 Dec;24(4):325-331. doi: 10.4314/ahs.v24i4.41.,Ma X,Afr Health Sci,2024,07-04-2025,PMC11970185,,10.4314/ahs.v24i4.41
40153582,1953-2023. Seventy Years of the Nerve Growth Factor: A Potential Novel Treatment in Neurological Diseases?,"Norata D, Capone F, Motolese F, Marano M, Rossi M, Calandrelli R, Sacchetti M, Mantelli F, Di Lazzaro V, Pilato F.",Aging Dis. 2024 Jul 15;16(4):2293-2314. doi: 10.14336/AD.2024.0573.,Norata D,Aging Dis,2024,28-03-2025,PMC12221384,,10.14336/AD.2024.0573
40086910,Correlation between changes in apathy and cognition in Alzheimer's disease associated apathy: Analysis of the Apathy in Dementia Methylphenidate Trial 2 (ADMET 2),"Sankhe K, Tumati S, Perin J, Rivet L, Vieira D, Rosenberg PB, Herrmann N, Shade D, Lerner AJ, Padala PR, Brawman-Mintzer O, van Dyck CH, Porsteinsson AP, Craft S, Levey AI, Mintzer J, Lanctôt KL.",Int Psychogeriatr. 2025 Mar;37(2):100012. doi: 10.1016/j.inpsyc.2024.100012. Epub 2024 Dec 4.,Sankhe K,Int Psychogeriatr,2025,14-03-2025,,,10.1016/j.inpsyc.2024.100012
40046004,Assessing the role of vascular risk factors in dementia: Mendelian randomization meta-analysis and comparison with observational estimates,"Lee L, Walker R, Whiteley W.",F1000Res. 2025 Feb 7;11:565. doi: 10.12688/f1000research.121604.2. eCollection 2022.,Lee L,F1000Res,2025,06-03-2025,PMC11880757,,10.12688/f1000research.121604.2
39990823,[Radiological Identification and Evaluation of Amyloid-Related Imaging Abnormalities in Alzheimer's Disease],"Yang X, Li W, Yang X, Chen Q, Li H, Lyu S, Hu N.",Sichuan Da Xue Xue Bao Yi Xue Ban. 2024 Nov 20;55(6):1364-1370. doi: 10.12182/20241160201.,Yang X,Sichuan Da Xue Xue Bao Yi Xue Ban,2024,24-02-2025,PMC11839357,,10.12182/20241160201
39949865,Improving cognitive impairment through chronic consumption of natural compounds/extracts: a systematic review and meta-analysis of randomized controlled trials,"Hoang LN, Lee H, Lee SJ.",Front Aging Neurosci. 2025 Jan 30;16:1531278. doi: 10.3389/fnagi.2024.1531278. eCollection 2024.,Hoang LN,Front Aging Neurosci,2025,14-02-2025,PMC11821934,,10.3389/fnagi.2024.1531278
39945003,"Comparative the efficacy and safety of Gosuranemab, Semorinemab, Tilavonemab, and Zagotenemab in patients with Alzheimer's disease: a systematic review and network meta-analysis of randomized controlled trials","Cai W, Zhang H, Wu Y, Yao Y, Zhang J.",Front Aging Neurosci. 2025 Jan 29;16:1465871. doi: 10.3389/fnagi.2024.1465871. eCollection 2024.,Cai W,Front Aging Neurosci,2025,13-02-2025,PMC11814219,,10.3389/fnagi.2024.1465871
39929585,Neutral sphingomyelinase 2: A promising drug target for CNS disease,"Huang M, Stremlau M, Zavras J, Zivko C, Thomas AG, Pietri P, Machairaki V, Slusher BS.",Adv Pharmacol. 2025;102:65-101. doi: 10.1016/bs.apha.2024.10.015. Epub 2024 Oct 28.,Huang M,Adv Pharmacol,2025,10-02-2025,PMC12172027,NIHMS2079308,10.1016/bs.apha.2024.10.015
39830554,Aducanumab in Alzheimer's Disease: A Comparative Study of Its Effects on Dementia and Mild Cognitive Impairment,"Medel Sánchez A, Ortiz Hernández A, Moreno Moreno RA, Salas López D, Madrigal Gómez LE, Dominguez Ibarra AK, Gutiérrez Rojas BA, Garcia Navarro CO, Moreno Becerril GT, Montelongo Quevedo M, Flores Valdés JR.",Cureus. 2024 Dec 17;16(12):e75907. doi: 10.7759/cureus.75907. eCollection 2024 Dec.,Medel Sánchez A,Cureus,2024,20-01-2025,PMC11740155,,10.7759/cureus.75907
39787544,Sound and Alzheimer's Disease-From Harmful Noise to Beneficial Soundscape Augmentation and Music Therapy,Belojević G.,Noise Health. 2024 Oct-Dec 01;26(123):445-448. doi: 10.4103/nah.nah_162_24. Epub 2024 Dec 30.,Belojević G,Noise Health,2024,09-01-2025,PMC11813243,,10.4103/nah.nah_162_24
39776519,Mitochondrial protective potential of fucoxanthin in brain disorders,"Ferdous KA, Jansen J, Amjad E, Pray E, Bloch R, Benoit A, Callahan M, Park HA.",J Nutr Sci. 2024 Jul 25;13:e21. doi: 10.1017/jns.2024.16. eCollection 2024.,Ferdous KA,J Nutr Sci,2024,08-01-2025,PMC11704942,,10.1017/jns.2024.16
39770989,Mechanisms and Potential Benefits of Neuroprotective Agents in Neurological Health,"Pekdemir B, Raposo A, Saraiva A, Lima MJ, Alsharari ZD, BinMowyna MN, Karav S.",Nutrients. 2024 Dec 18;16(24):4368. doi: 10.3390/nu16244368.,Pekdemir B,Nutrients,2024,08-01-2025,PMC11677798,,10.3390/nu16244368
39766387,The Association Between Traumatic Brain Injury and the Risk of Cognitive Decline: An Umbrella Systematic Review and Meta-Analysis,"Mavroudis I, Kazis D, Petridis FE, Balmus IM, Papaliagkas V, Ciobica A.",Brain Sci. 2024 Nov 26;14(12):1188. doi: 10.3390/brainsci14121188.,Mavroudis I,Brain Sci,2024,08-01-2025,PMC11674444,,10.3390/brainsci14121188
39758348,Studying targeted oxidation in diabetic cognitive dysfunction based on scientometrics analysis: research progress of natural product approaches,"Tu W, Xu F, Li J, Tian X, Cao L, Wang L, Qu Y.",Front Endocrinol (Lausanne). 2024 Dec 20;15:1445750. doi: 10.3389/fendo.2024.1445750. eCollection 2024.,Tu W,Front Endocrinol (Lausanne),2024,06-01-2025,PMC11695123,,10.3389/fendo.2024.1445750
39746672,CROI 2024: Neuropsychiatric Complications in People With HIV,"Corley MJ, Letendre SL, Nightingale S.",Top Antivir Med. 2024 Aug 12;32(4):513-522.,Corley MJ,Top Antivir Med,2024,02-01-2025,PMC11361754,,
39746645,Statins for vascular dementia: A hype or hope,"Rajab HA, Al-Kuraishy HM, Shokr MM, Al-Gareeb AI, Al-Harchan NA, Alruwaili M, Papadakis M, Alexiou A, Batiha GE.",Neuroscience. 2025 Feb 16;567:45-55. doi: 10.1016/j.neuroscience.2024.12.059. Epub 2024 Dec 31.,Rajab HA,Neuroscience,2025,02-01-2025,,,10.1016/j.neuroscience.2024.12.059
39733844,The AβA2V paradigm: From molecular insights to therapeutic strategies in Alzheimer's disease and primary tauopathies,"Diomede L, Conz A, Mosconi M, Stoilova T, Paloni M, Salvalaglio M, Cagnotto A, Colombo L, Catania M, Di Fede G, Tagliavini F, Salmona M.",Pharmacol Res. 2025 Jan;211:107563. doi: 10.1016/j.phrs.2024.107563. Epub 2024 Dec 27.,Diomede L,Pharmacol Res,2025,29-12-2024,,,10.1016/j.phrs.2024.107563
39728750,New Insights into the Role of SGLT-2 Inhibitors in the Prevention of Dementia,"Hung CH, Lu LY.",Neurol Int. 2024 Dec 5;16(6):1717-1730. doi: 10.3390/neurolint16060124.,Hung CH,Neurol Int,2024,27-12-2024,PMC11676485,,10.3390/neurolint16060124
